OBJECTID,Location,Point ID,Latitude,Longitude,GPS_Date,GPS_Time,Max_PDOP,Horz_Prec,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
1,Del Sol,G Major Start,34.416508260,-119.866347398,5/20/2019 12:00:00 AM,02:16:07pm,1.6,0.6,49b6e3e3-3d92-4b57-945c-f5a214695e9c,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.866334923725,34.4165034060952
2,Del Sol,G Major End,34.416550136,-119.866007647,5/20/2019 12:00:00 AM,02:17:31pm,1.7,0.6,c5a389e9-431b-43c1-9c99-c2efae6ee0e2,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.865995173173,34.4165452820013
3,Del Sol,E Major End,34.415853241,-119.864891750,5/20/2019 12:00:00 AM,03:37:48pm,6,0.6,3f19d48a-bfcb-46da-be4d-a6dc50dc271c,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.864879275851,34.4158483871114
4,Del Sol,E Major Start,34.415901903,-119.865279602,5/20/2019 12:00:00 AM,04:52:36pm,2.7,0.6,ef5644e7-a834-4735-8789-79b388a87218,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.86526712778,34.4158970497587
5,Del Sol,J Major Start,34.416914991,-119.865246288,5/21/2019 12:00:00 AM,05:22:56pm,4.1,0.6,2090f8b0-c23e-4399-8c34-c7a9b6dc8c45,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.865233813456,34.4169101372039
6,Del Sol,J Major End,34.416850275,-119.865098416,5/21/2019 12:00:00 AM,05:23:43pm,5.4,0.6,21fdc0ac-b783-4742-9d97-5152aeb29561,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.86508594214,34.4168454210604
7,Del Sol,F Major End,34.416224219,-119.864822300,6/6/2019 12:00:00 AM,02:44:10pm,2.2,2.4,12945f33-e472-4bd6-aee4-22fa766ed08e,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.864809826743,34.4162193647751
8,Del Sol,F Major Start,34.416243533,-119.865219006,6/6/2019 12:00:00 AM,02:48:01pm,2.1,2.2,be6d5fde-9009-4f52-99ee-09d45e6ad97e,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.86520653241,34.4162386788668
9,Del Sol,L Major End,34.416782924,-119.865076129,6/6/2019 12:00:00 AM,04:40:44pm,15.9,2.8,a7dcaa1f-de59-4ac7-8478-1294787acd01,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.865063654922,34.4167780701783
10,Del Sol,L Major Start,34.416718061,-119.865239550,6/6/2019 12:00:00 AM,04:41:27pm,2.4,2,2cfed6f1-6c5f-4b16-a11d-ad973b142021,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.865227076145,34.4167132074916
11,Del Sol,I Major Start,34.416887569,-119.865115383,6/6/2019 12:00:00 AM,05:40:28pm,2.2,3,b92c4051-933d-4da1-a319-8deaeaa562ed,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.865102908303,34.4168827151145
12,Del Sol,I Major End,34.416991117,-119.865016063,6/6/2019 12:00:00 AM,05:41:10pm,2,2.5,43a892f9-2ffe-457c-ae86-49121d029444,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.865003588959,34.4169862630933
13,Del Sol,K minor Start,34.416681054,-119.865035874,6/7/2019 12:00:00 AM,04:47:53pm,2.9,2.3,1b70e596-5295-45ea-96b2-09e4f8f3b596,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.8650233997,34.4166762006797
14,Del Sol,K minor End,34.416691615,-119.864871020,6/7/2019 12:00:00 AM,04:48:41pm,2.7,2.3,177e7b3b-508b-4824-ba09-f108966b6bbf,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.864858546095,34.4166867615988
15,Camino Corto,6 minor Start,34.415854112,-119.866752410,6/10/2019 12:00:00 AM,02:21:20pm,1.8,2.4,9072f5de-c5ae-4001-a354-09ece54a1d50,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.866739935512,34.4158492584445
16,Camino Corto,6 minor End,34.416053764,-119.867079009,6/10/2019 12:00:00 AM,02:22:20pm,1.7,2.2,81201710-b6a9-421f-85f3-c3b559e96388,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.867066535427,34.4160489104214
17,Camino Corto,2 Major Start,34.415884208,-119.867517236,6/10/2019 12:00:00 AM,02:23:37pm,2.8,2.8,6be7bf7b-2772-4e53-8284-0ec99995f630,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.867504761697,34.4158793537552
18,Camino Corto,2 Major End,34.416067346,-119.867865378,6/10/2019 12:00:00 AM,02:24:42pm,2.3,2.4,e715c7d8-e702-47a4-be4b-0f9eef683417,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.867852903748,34.4160624921602
19,Camino Corto,3 Major End,34.415232235,-119.867715457,6/10/2019 12:00:00 AM,02:28:50pm,1.9,2.1,0de7e463-b55c-4a16-a968-f4d98fa22188,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.867702982658,34.4152273815154
20,Camino Corto,3 Major Start,34.414991761,-119.867359754,6/10/2019 12:00:00 AM,02:29:57pm,3,2.7,51aae50f-6609-46c4-80f7-af81417266ec,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.867347279095,34.4149869076822
21,Camino Corto,4 Major Start,34.414841405,-119.867692301,6/10/2019 12:00:00 AM,02:31:07pm,1.9,2.3,ff635d3e-c49d-4fe5-8a85-fb02dc0230ce,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.867679826989,34.4148365512083
22,Camino Corto,4 Major End,34.414663270,-119.867936743,6/10/2019 12:00:00 AM,02:31:44pm,1.8,2.1,feec72a0-3104-475a-86b8-6a0ec3759cf0,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.867924269218,34.4146584157895
23,More Mesa,Main Major Start,34.417403739,-119.786701320,6/3/2019 12:00:00 AM,09:43:26am,2.2,0.6,b3f3b9bc-524b-433d-b637-ef06f0ab2af4,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.786688858515,34.417398880323
24,More Mesa,Main Major End,34.417758756,-119.787148048,6/3/2019 12:00:00 AM,09:46:21am,2.5,0.6,e9818bfc-b4c7-45c2-8c46-827bd3c4d030,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.787135586431,34.4177538974855
25,Ellwood Mesa,Reference Major Start,34.419751800,-119.888718545,5/31/2019 12:00:00 AM,03:46:38pm,1.6,0.6,436ecd12-54f6-48a1-ba81-a77515560a95,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.888706067674,34.419746947254
26,Ellwood Mesa,Reference Major End,34.419878837,-119.888916636,5/31/2019 12:00:00 AM,03:47:44pm,1.9,0.6,b03690c1-e684-4fd5-b247-35e4b5fd5ec7,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.888904157897,34.419873984216
27,Del Sol,W Major Start,34.416130437,-119.865750001,5/28/2019 12:00:00 AM,11:59:07am,7.2,0.6,ae322950-03f4-4da2-93d8-86b4a457d6bd,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.865737526837,34.4161255834124
28,Del Sol,W Major End,34.416274578,-119.865261437,5/28/2019 12:00:00 AM,12:00:26pm,3.8,0.6,9d1a9e88-5111-4fd7-a6ed-56baddca60e8,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.865248962905,34.4162697248459
29,Del Sol,S Major Start,34.416488170,-119.865270523,5/28/2019 12:00:00 AM,12:02:23pm,2,0.6,0c873a05-df4f-487c-9b1d-0c2f4e3a9a72,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.865258049209,34.4164833166486
30,Del Sol,S Major End,34.416471449,-119.864646173,5/28/2019 12:00:00 AM,12:03:22pm,2.3,0.6,186089f1-0092-4904-869b-ad3ad1ceb6f6,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.864633698477,34.4164665950132
31,Del Sol,G Major End,34.416550832,-119.866009254,5/28/2019 12:00:00 AM,12:34:44pm,6.5,0.6,3c91568a-c1b2-49c1-a7de-e3689012674d,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.865996779467,34.4165459786304
32,Del Sol,G Major Start,34.416507771,-119.866349507,5/28/2019 12:00:00 AM,12:36:24pm,2.5,0.6,b5989037-337f-48ab-8923-5e3d18350576,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.866337033327,34.4165029173799
33,Camino Corto,8 Major Start,34.414780475,-119.867027242,5/29/2019 12:00:00 AM,03:42:14pm,1.8,68.9,dbf74553-e96b-4b2a-a1b6-dc5675f4ea6c,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.867014767539,34.4147756211573
34,Camino Corto,8 Major End,34.414989256,-119.867212794,5/29/2019 12:00:00 AM,03:43:11pm,1.7,35.4,a4e6dbd4-c350-4860-b065-030b750d5743,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.867200319917,34.4149844023596
35,Del Sol,V Major End,34.415429162,-119.865892288,5/30/2019 12:00:00 AM,03:27:44pm,3,0.6,484a598e-1073-4ade-873d-a01f59557fc5,5/13/2021 5:27:13 PM,CCBER-Admin,5/13/2021 5:27:13 PM,CCBER-Admin,-119.865879813422,34.4154243081057
